url,Extract Method,Move Field,Inline Method,Move Method,Pull Up Method,Pull Up Field,Extract Superclass,Extract Interface,Push Down Method,Push Down Field,total refactoring types
https://github.com/facebook/facebook-android-sdk/commit/5fe7b8e47a1b1b100c671211b9412720b90664b9,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/16e69a95ef03ec0a1c48a8c98b489920ace9202a,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/eb54a4871c9eb09818a9c47734c2dd417c1b9870,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/1e112e2ed49fef0ea0a64ed5903f7d60611c84ee,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/851d062f9af83320ae124e1869ab1f4e869adf4d,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/e07d1b61ce597837c1b0d5d688e4ce1fa38a534b,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/b026f6f7c1c26714d42b0ee015926d25cbc6926f,0,0,0,0,0,0,0,0,0,0,3
https://github.com/facebook/facebook-android-sdk/commit/d292b115be24bfb5c3dedf5271906b7cba706787,1,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/275ff762ce59303096547a43a95b044ca3f63c97,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/6182c2862d9c1fdd75f9225db428bb2dbc950c51,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/e495d9c2380c104588469f70ed819cb7c0bf8227,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/252511e160c3f8296910e16d553c923cf1d11403,0,0,0,0,0,0,0,0,0,0,3
https://github.com/facebook/facebook-android-sdk/commit/b00ce8c7c98689c9ae87518690be321a979de7ae,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/a30ddc9da08b82f4d4add4200c6b1f481f8e530a,1,0,0,0,0,0,0,0,0,0,5
https://github.com/facebook/facebook-android-sdk/commit/127223b6185f9deae11c40846a870eea00ff249b,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/5e3d2d06a0105e9d19e2b2dbdbd60279b7fc1e84,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/acdbb3e22916f6585c6e93381531977f27036589,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/3f11bf65ea1db1ff42f12c6ef07fb50bd06f8fe5,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/ed874b399530ebd010f600f7d16883d9b2440d66,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/8e8e71f44489c0bc9d59605f3b5995734283ba82,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/2f2e2a664f48432e1e83ae22f606b31281e35b55,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/a8bd54e843a202dd6c01ed26b3c55254afc2b394,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/83616252bf9708eb7d085ed322ab29b1964e6fba,0,0,0,0,0,0,0,0,0,0,1
